ID,section,section ID,height,weight_gram
MS1,Festningen,Fe66,NA,0.0963
MS2,Festningen,Fe68c,NA,0.0882
MS3,Festningen,Fe74,NA,0.0882
MS_Fe_4,Festningen,Fe77,NA,0.0918
MS_Fe_5,Festningen,Fe79,NA,0.0925
MS_Fe_6,Festningen,Fe93,NA,0.1
MS_Fe_7,Festningen,Fe70,NA,0.0921
MS_Fe_8,Festningen,Fe92,NA,0.0886
MS_Fe_9,Festningen,Fe73,NA,0.0883
MS_Fe_10,Festningen,Fe69b,NA,0.0899
MS_Fe_11,Festningen,Fe90,NA,0.0856
MS_Fe_12,Festningen,Fe68b,NA,0.0869
MS_Fe_13,Festningen,Fe69a,NA,0.0845
MS_Fe_14,Festningen,Fe100,NA,0.0848
MS_Fe_15,Festningen,Fe81,NA,0.0895
MS_Fe_16,Festningen,Fe71,NA,0.0874
MS_Fe_17,Festningen,Fe80,NA,0.0953
MS_Fe_18,Festningen,Fe99,NA,0.0824
MS_Fe_19,Festningen,Fe78,NA,0.0877
MS_Fe_20,Festningen,Fe85,NA,0.0883
MS_Fe_21,Festningen,Fe87,NA,0.0905
MS_Fe_22,Festningen,Fe72,NA,0.0812
MS_Fe_23,Festningen,Fe68a,NA,0.0918
MS_Fe_24,Festningen,Fe94,NA,0.0911
MS_Fe_25,Festningen,Fe102,NA,0.0892
MS_Fe_26,Festningen,Fe91,NA,0.09
MS_Fe_27,Festningen,Fe86,NA,0.0828
MS_Fe_28,Festningen,Fe82,NA,0.0958
MS_Fe_29,Festningen,Fe103,NA,0.0869
MS_Fe_30,Festningen,Fe84,NA,0.0892
MS_Fe_31,Festningen,Fe96,NA,0.0848
MS_Fe_32,Festningen,Fe101,NA,0.0901
MS_Fe_33,Festningen,Fe97,NA,0.0844
MS_Fe_34,Festningen,Fe88,NA,0.0948
MS_Fe_35,Festningen,Fe75,NA,0.102
MS_Fe_36,Festningen,Fe83,NA,0.0984
MS_Fe_37,Festningen,Fe95,NA,0.09
MS_Fe_38,Festningen,Fe76b,NA,0.0892
MS_Fe_39,Festningen,Fe98,NA,0.0842
MS_Fe_40,Festningen,Fe89,NA,0.096
MS_Fe_41,Festningen,Fe88,NA,0.0971
MS_Fe_42,Festningen,Fe88,NA,0.0872
MS_Fe_43,Festningen,Fe88,NA,0.1014
MS_Fe_44,Festningen,Fe88,NA,0.0867
MS_Fe_45,Festningen,Fe88,NA,0.0767
MS_Fe_46,Festningen,Fe88,NA,0.0794
MS_Fe_47,Festningen,Fe68c,NA,0.1073
MS_Fe_48,Festningen,Fe68c,NA,0.0726
MS_Fe_49,Festningen,Fe68c,NA,0.1005
MS_Fe_50,Festningen,Fe68c,NA,0.0731
MS_Fe_51,Festningen,Fe68c,NA,0.0962
MS_Fe_52,Festningen,Fe68c,NA,0.0789
MS_Fe_53,Festningen,Fe102,NA,0.0848
MS_Fe_54,Festningen,Fe102,NA,0.0777
MS_Fe_55,Festningen,Fe102,NA,0.0791
MS_Fe_56,Festningen,Fe102,NA,0.0786
MS_Fe_57,Festningen,Fe102,NA,0.0859
MS_Fe_58,Festningen,Fe102,NA,0.0859
MS_Fe_59,Standard,HN22,NA,0.0466
MS_Fe_60,Standard,C165 64m,NA,0.0777
MS_Fe_61,Deltadalen,DD-1-20,NA,0.0742
MS_Fe_62,Deltadalen,DD-1-29,NA,0.0695
MS_Fe_63,Deltadalen,DD-1-9,NA,0.0768
MS_Fe_64,Deltadalen,DD-1-7,NA,0.0896
MS_Fe_65,Deltadalen,DD-1-35,NA,0.0841
MS_Fe_66,Deltadalen,DD-1-26,NA,0.0932
MS_Fe_67,Deltadalen,DD-1-38,NA,0.0891
MS_Fe_68,Deltadalen,DD-1-19,NA,0.0916
MS_Fe_69,Deltadalen,DD-1-40,NA,0.085
MS_Fe_70,Deltadalen,DD-1-16,NA,0.086
MS_Fe_71,Deltadalen,DD-1-32,NA,0.0961
MS_Fe_72,Deltadalen,DD-1-21,NA,0.0859
MS_Fe_73,Deltadalen,DD-1-27,NA,0.0841
MS_Fe_74,Deltadalen,DD-1-42,NA,0.0713
MS_Fe_75,Deltadalen,DD-1-13,NA,0.1007
MS_Fe_76,Deltadalen,DD-1-33,NA,0.0742
MS_Fe_77,Deltadalen,DD-1-41,NA,0.0785
MS_Fe_78,Deltadalen,DD-1-24,NA,0.0729
MS_Fe_79,Deltadalen,DD-1-30,NA,0.0714
MS_Fe_80,Deltadalen,DD-1-37,NA,0.0809
MS_Fe_81,Deltadalen,DD-1-31,NA,0.0715
MS_Fe_82,Deltadalen,DD-1-15,NA,0.0991
MS_Fe_83,Deltadalen,DD-1-14,NA,0.0944
MS_Fe_84,Deltadalen,DD-1-5,NA,0.076
MS_Fe_85,Deltadalen,DD-1-34,NA,0.0991
MS_Fe_86,Deltadalen,DD-1-4,NA,0.0851
MS_Fe_87,Deltadalen,DD-1-39,NA,0.071
MS_Fe_88,Deltadalen,DD-1-17,NA,0.0797
MS_Fe_89,Deltadalen,DD-1-18,NA,0.0986
MS_Fe_90,Deltadalen,DD-1-11,NA,0.0914
MS_Fe_91,Deltadalen,DD-1-8,NA,0.087
MS_Fe_92,Deltadalen,DD-1-23,NA,0.0834
MS_Fe_93,Deltadalen,DD-1-2,NA,0.0707
MS_Fe_94,Deltadalen,DD-1-28,NA,0.0849
MS_Fe_95,Deltadalen,DD-1-3,NA,0.0696
MS_Fe_96,Deltadalen,DD-1-25,NA,0.0957
MS_Fe_97,Deltadalen,DD-1-6,NA,0.0887
MS_Fe_98,Deltadalen,DD-1-36,NA,0.0829
MS_Fe_99,Deltadalen,DD-1-12,NA,0.1001
MS_Fe_100,Deltadalen,DD-1-1,NA,0.0959
MS_Fe_101,Deltadalen,DD-1-10,NA,0.0816
MS_Fe_102,Deltadalen,DD-1-39,NA,0.0922
MS_Fe_103,Deltadalen,DD-1-39,NA,0.0746
MS_Fe_104,Deltadalen,DD-1-39,NA,0.0788
MS_Fe_105,Deltadalen,DD-1-39,NA,0.0711
MS_TD_50,Festningen,Fe70,-1670.96774193548,0.1474
MS_TD_51,Festningen,Fe89,70.9677419354839,0.1554
MS_TD_52,Festningen,Fe68c,-2012.90322580645,0.1518
MS_TD_53,Festningen,Fe94,354.838709677419,0.1665
MS_TD_54,Festningen,Fe98,651.612903225806,0.1216
MS_TD_55,Festningen,Fe102,1148.38709677419,0.1086
MS_TD_56,Festningen,Fe81,-367.741935483871,0.116
MS_TD_57,Festningen,Fe96,477.41935483871,0.1046
MS_TD_58,Festningen,Fe100,864.516129032258,0.1109
MS_TD_59,Festningen,Fe72,-1483.87096774194,0.1091
MS_TD_60,Festningen,Fe77,-787.096774193548,0.1119
MS_TD_61,Festningen,Fe91,200,0.1057
MS_TD_62,Festningen,Fe95,374.193548387097,0.127
MS_TD_63,Festningen,Fe90,154.838709677419,0.1239
MS_TD_64,Festningen,Fe86,-103.225806451613,0.1091
MS_TD_65,Festningen,Fe68a,-2490.32258064516,0.1148
MS_TD_66,Festningen,Fe97,593.548387096774,0.1057
MS_TD_67,Festningen,Fe92,258.064516129032,0.1195
MS_TD_68,Festningen,Fe68b,-2277.41935483871,0.1111
MS_TD_69,Festningen,Fe103,1270.96774193548,0.1222
MS_TD_70,Festningen,Fe75,-1090.32258064516,0.1215
MS_TD_71,Festningen,Fe80,-509.677419354839,0.1147
MS_TD_72,Festningen,Fe99,774.193548387097,0.1206
MS_TD_73,Festningen,Fe73,-1335.48387096774,0.1117
MS_TD_74,Festningen,Fe78,-645.161290322581,0.1191
MS_TD_75,Festningen,Fe71,-1574.1935483871,0.1123
MS_TD_76,Festningen,Fe69a,-1929.03225806452,0.1067
MS_TD_77,Festningen,Fe93,309.677419354839,0.1269
MS_TD_78,Festningen,Fe69b,-1716.12903225806,0.1153
MS_TD_79,Festningen,Fe88,12.9032258064516,0.102
MS_TD_80,Festningen,Fe83,-258.064516129032,0.1151
MS_TD_81,Festningen,Fe101,1000,0.1025
MS_TD_82,Festningen,Fe84,-193.548387096774,0.102
MS_TD_83,Festningen,Fe66,-2709.67741935484,0.1182
MS_TD_84,Festningen,Fe76b,-870.967741935484,0.1005
MS_TD_85,Festningen,Fe87,-32.258064516129,0.1214
MS_TD_86,Festningen,Fe85,-167.741935483871,0.1092
MS_TD_87,Festningen,Fe79,-606.451612903226,0.1084
MS_TD_88,Festningen,Fe82,-309.677419354839,0.1231
MS_TD_89,Festningen,Fe74,-1245.16129032258,0.107
MS_TD_90,Standard,SBC-1,NA,0.0793
MS_TD_91,Standard,SBC-1,NA,0.0791
MS_TD_92,Standard,SBC-1,NA,0.0756
MS_TD_93,Standard,SBC-1,NA,0.1178
MS_TD_94,Standard,SBC-1,NA,0.1183
MS_TD_95,Standard,SBC-1,NA,0.1174
MS_TD_96,Standard,SBC-1,NA,0.1576
MS_TD_97,Standard,SBC-1,NA,0.1576
MS_TD_98,Standard,SBC-1,NA,0.16
MS_TD_99,blank,NA,NA,NA
MS_TD_100,blank,NA,NA,NA
MS_Fe_130,Standard,KL134,NA,0.0864
MS_Fe_131,Standard,WHIT-1 TEST,NA,0.0744
MS_Fe_132,Standard,WHIT,NA,0.0925
MS_Fe_133,Standard,BHW,NA,0.0763
MS_Fe_134,Standard,C165 64m,NA,0.0849
MS_Fe_135,Standard,KL133,NA,0.1015
MS_Fe_156,Standard,BHW,NA,0.0706
MS_Fe_157,Standard,KL134,NA,0.0739
MS_Fe_158,Standard,WHIT-1 TEST,NA,0.102
MS_Fe_159,Standard,KL133,NA,0.0764
MS_Fe_160,Standard,WHIT,NA,0.0759
MS_Fe_161,Standard,C165 64m,NA,0.0774
MS_Fe_224,Standard,BHW,NA,0.0807
MS_Fe_225,Standard,BHW,NA,0.0982
MS_Fe_226,Standard,BHW,NA,0.0886
MS_Fe_227,Standard,WHIT,NA,0.0722
MS_Fe_228,Standard,WHIT,NA,0.0935
MS_Fe_229,Standard,WHIT,NA,0.0726
MS_Fe_230,Standard,KL134,NA,0.0676
MS_Fe_231,Standard,KL134,NA,0.0824
MS_Fe_232,Standard,KL134,NA,0.0966
MS_Fe_233,Standard,WHIT-1 TEST,NA,0.0627
MS_Fe_234,Standard,WHIT-1 TEST,NA,0.0742
MS_Fe_235,Standard,WHIT-1 TEST,NA,0.0694
MS_Fe_236,Standard,KL133,NA,0.0745
MS_Fe_237,Standard,KL133,NA,0.1048
MS_Fe_238,Standard,KL133,NA,0.0962
MS_Fe_239,Standard,C165 64m,NA,0.0648
MS_Fe_240,Standard,C165 64m,NA,0.0638
MS_Fe_241,Standard,C165 64m,NA,0.061
MS_TD_150,Standard,SBC-1,NA,0.0792
MS_TD_151,Standard,SBC-1,NA,0.0986
MS_TD_152,Standard,SBC-1,NA,0.1241
MS_TD_177,Standard,SBC-1,NA,0.0803
MS_TD_178,Standard,SBC-1,NA,0.0979
MS_TD_179,Standard,SBC-1,NA,0.126
MS_TD_200,Standard,SBC-1,NA,0.0881
MS_TD_201,Standard,SBC-1,NA,0.1016
MS_TD_202,Standard,SBC-1,NA,0.1226
MS_TD_203,blank,NA,NA,NA
MS_TD_204,blank,NA,NA,NA
MS_TD_205,blank,NA,NA,NA
MS_TD_206,Standard,SBC-1,NA,0.079
MS_TD_207,Standard,SBC-1,NA,0.0974
MS_TD_208,Standard,SBC-1,NA,0.1087
MS_TD_209,Deltadalen,DD-1-39,8198,0.079
MS_TD_210,Deltadalen,DD-1-34,8349.1,0.1044
MS_TD_211,Deltadalen,DD-1-23,8919,0.0989
MS_TD_212,Deltadalen,DD-1-36,8267.5,0.0993
MS_TD_213,Deltadalen,DD-1-40,8035.2,0.0946
MS_TD_214,Deltadalen,DD-1-8,9526,0.0974
MS_TD_215,Deltadalen,DD-1-42,8106.7,0.0909
MS_TD_216,Deltadalen,DD-1-33,8512.1,0.0991
MS_TD_217,Deltadalen,DD-1-17,9203.8,0.0917
MS_TD_218,Deltadalen,DD-1-11,9516.1,0.105
MS_TD_219,Deltadalen,DD-1-26,8640.3,0.0982
MS_TD_220,Deltadalen,DD-1-41,8080.7,0.0868
MS_TD_221,Deltadalen,DD-1-12,9352.4,0.0913
MS_TD_222,Deltadalen,DD-1-30,8571.1,0.1041
MS_TD_223,Deltadalen,DD-1-27,8677.3,0.1003
MS_TD_224,Deltadalen,DD-1-5,9818.9,0.0969
MS_TD_225,Deltadalen,DD-1-16,9161.8,0.1
MS_TD_226,Deltadalen,DD-1-37,8306.5,0.0934
MS_TD_227,Deltadalen,DD-1-38,8155.5,0.0938
MS_TD_228,Deltadalen,DD-1-3,9915.2,0.0895
MS_TD_229,Deltadalen,DD-1-2,9867.2,0.1091
MS_TD_230,Deltadalen,DD-1-35,8416.1,0.1004
MS_TD_231,Standard,SBC-1,NA,0.1165
MS_TD_232,Standard,SBC-1,NA,0.0781
MS_TD_233,Standard,SBC-1,NA,0.1175
MS_TD_234,Deltadalen,DD-1-7,9720.1,0.1137
MS_TD_235,Deltadalen,DD-1-6,9656.1,0.1229
MS_TD_236,Deltadalen,DD-1-4,9758.4,0.1137
MS_TD_237,Deltadalen,DD-1-32,8459.1,0.1119
MS_TD_238,Deltadalen,DD-1-10,9467.1,0.0916
MS_TD_239,Deltadalen,DD-1-31,8622.6,0.1084
MS_TD_240,Deltadalen,DD-1-1,9941.2,0.1248
MS_TD_241,Deltadalen,DD-1-28,8702.8,0.1011
MS_TD_242,Deltadalen,DD-1-25,8786.8,0.0979
MS_TD_243,Deltadalen,DD-1-13,9417.9,0.129
MS_TD_244,Deltadalen,DD-1-19,9121.2,0.113
MS_TD_245,Deltadalen,DD-1-18,9082.7,0.1099
MS_TD_246,Deltadalen,DD-1-21,9018.3,0.0878
MS_TD_247,Deltadalen,DD-1-14,9272.4,0.1152
MS_TD_248,Deltadalen,DD-1-29,8722.8,0.0935
MS_TD_249,Deltadalen,DD-1-9,9586.5,0.1263
MS_TD_250,Deltadalen,DD-1-24,8756.9,0.0885
MS_TD_251,Deltadalen,DD-1-20,8967.4,0.0869
MS_TD_252,Deltadalen,DD-1-15,9308.3,0.0917
MS_TD_253,Standard,SGR 1b,NA,0.0756
MS_TD_254,Standard,SGR 1b,NA,0.1151
MS_TD_255,Standard,SGR 1b,NA,0.1008
MS_TD_256,blank,NA,NA,NA
MS_TD_257,blank,NA,NA,NA
MS_TD_258,blank,NA,NA,NA
MS_TD_259,Standard,SBC-1,NA,0.0768
MS_TD_260,Standard,SBC-1,NA,0.0891
MS_TD_261,Standard,SBC-1,NA,0.1513
MS_TD_287,Standard,SBC-1,NA,0.0774
MS_TD_288,Standard,SBC-1,NA,0.1033
MS_TD_289,Standard,SBC-1,NA,0.077
MS_TD_315,Standard,SBC-1,NA,0.1262
MS_TD_316,Standard,SBC-1,NA,0.1121
MS_TD_317,Standard,SBC-1,NA,0.1018
MS_TD_318,blank,NA,NA,NA
MS_TD_319,blank,NA,NA,NA
MS_TD_320,blank,NA,NA,NA
MS_TD_321,Standard,SBC-1,NA,0.0835
MS_TD_322,Standard,SBC-1,NA,0.2015
MS_TD_323,Standard,SBC-1,NA,0.1147
MS_TD_348,Standard,SBC-1,NA,0.1974
MS_TD_349,Standard,SBC-1,NA,0.0745
MS_TD_350,Standard,SBC-1,NA,0.1153
MS_TD_373,Standard,SBC-1,NA,0.1108
MS_TD_374,Standard,SBC-1,NA,0.2077
MS_TD_375,Standard,SBC-1,NA,0.0883
MS_TD_376,blank,NA,NA,NA
MS_TD_377,blank,NA,NA,NA
MS_TD_378,blank,NA,NA,NA
MS_TD_379,Standard,SBC-1,NA,0.0792
MS_TD_380,Standard,SBC-1,NA,0.1042
MS_TD_381,Standard,SBC-1,NA,0.2082
MS_TD_406,Standard,SBC-1,NA,0.0793
MS_TD_407,Standard,SBC-1,NA,0.0872
MS_TD_408,Standard,SBC-1,NA,0.0715
MS_TD_429,Standard,SBC-1,NA,0.0738
MS_TD_430,Standard,SBC-1,NA,0.1459
MS_TD_431,Standard,SBC-1,NA,0.1
MS_TD_432,blank,NA,NA,NA
MS_TD_433,blank,NA,NA,NA
MS_TD_434,blank,NA,NA,NA
MS_BH_1,Festningen,Fe88,NA,0.0571
MS_BH_2,Festningen,Fe86,NA,0.0363
MS_BH_3,Festningen,Fe99,NA,0.0304
MS_BH_4,Festningen,Fe81,NA,0.0388
MS_BH_5,Festningen,Fe74,NA,0.0343
MS_BH_6,Festningen,Fe72,NA,0.0449
MS_BH_7,Festningen,Fe97,NA,0.0348
MS_BH_8R,Festningen,Fe69b,NA,0.0334
MS_BH_9,Festningen,Fe66,NA,0.0573
MS_BH_10,Festningen,Fe82,NA,0.032
MS_BH_11,Festningen,Fe102,NA,0.0363
MS_BH_12,Festningen,Fe68b,NA,0.0305
MS_BH_13,Festningen,Fe83,NA,0.0614
MS_BH_14,Festningen,Fe73,NA,0.0328
MS_BH_15,Festningen,Fe75,NA,0.0589
MS_BH_16,Festningen,Fe92,NA,0.0446
MS_BH_17,Festningen,Fe90,NA,0.0513
MS_BH_18,Festningen,Fe70,NA,0.0366
MS_BH_19,Festningen,Fe87,NA,0.0536
MS_BH_20,Festningen,Fe98,NA,0.0615
MS_BH_21,Festningen,Fe93,NA,0.0299
MS_BH_22,Festningen,Fe95,NA,0.0419
MS_BH_23,Festningen,Fe71,NA,0.0423
MS_BH_24,Festningen,Fe68a,NA,0.0326
MS_BH_25,Festningen,Fe79,NA,0.0379
MS_BH_26,Festningen,Fe103,NA,0.0348
MS_BH_27,Festningen,Fe91,NA,0.0516
MS_BH_28,Festningen,Fe89,NA,0.0445
MS_BH_29,Festningen,Fe69a,NA,0.0612
MS_BH_30,Festningen,Fe80,NA,0.0326
MS_BH_31,Festningen,Fe100,NA,0.0514
MS_BH_32,Festningen,Fe77,NA,0.0378
MS_BH_33,Festningen,Fe94,NA,0.0561
MS_BH_34,Festningen,Fe68c,NA,0.0333
MS_BH_35,Festningen,Fe78,NA,0.0541
MS_BH_36,Festningen,Fe96,NA,0.0289
MS_BH_37,Festningen,Fe101,NA,0.0349
MS_BH_38,Festningen,Fe85,NA,0.0523
MS_BH_39,Festningen,Fe76b,NA,0.0362
MS_BH_40,Festningen,Fe84,NA,0.0337
MS_BH_41,Standard,WHIT,NA,0.0305
MS_BH_42,Standard,BHW,NA,0.0321
MS_BH_43,Standard,KL134,NA,0.0405
MS_BH_44,Deltadalen,DD-1-31,NA,0.0301
MS_BH_45,Deltadalen,DD-1-18,NA,0.0301
MS_BH_46,Deltadalen,DD-1-19,NA,0.032
MS_BH_47,Deltadalen,DD-1-13,NA,0.0334
MS_BH_48,Deltadalen,DD-1-1,NA,0.0573
MS_BH_49,Deltadalen,DD-1-14,NA,0.0477
MS_BH_50,Deltadalen,DD-1-6,NA,0.033
MS_BH_51,Deltadalen,DD-1-4,NA,0.0385
MS_BH_52,Deltadalen,DD-1-29,NA,0.044
MS_BH_53,Deltadalen,DD-1-28,NA,0.0582
MS_BH_54,Deltadalen,DD-1-25,NA,0.055
MS_BH_55,Deltadalen,DD-1-9,NA,0.0383
MS_BH_56,Deltadalen,DD-1-32,NA,0.0503
MS_BH_57,Deltadalen,DD-1-10,NA,0.0435
MS_BH_58,Deltadalen,DD-1-24,NA,0.0417
MS_BH_59,Deltadalen,DD-1-7,NA,0.0335
MS_BH_60,Deltadalen,DD-1-20,NA,0.0396
MS_BH_61,Deltadalen,DD-1-21,NA,0.0283
MS_BH_62,Deltadalen,DD-1-15,NA,0.037
MS_BH_63,Standard,BHW,NA,0.0583
MS_BH_64,Standard,WHIT,NA,0.0318
MS_BH_65,Standard,KL134,NA,0.0399
MS_BH_66,Deltadalen,DD-1-8,NA,0.038
MS_BH_67R,Deltadalen,DD-1-11,NA,0.0421
MS_BH_68,Deltadalen,DD-1-3,NA,0.0574
MS_BH_69,Deltadalen,DD-1-42,NA,0.0327
MS_BH_70,Deltadalen,DD-1-26,NA,0.0302
MS_BH_71,Deltadalen,DD-1-12,NA,0.0542
MS_BH_72,Deltadalen,DD-1-38,NA,0.0377
MS_BH_73,Deltadalen,DD-1-36,NA,0.03
MS_BH_74,Deltadalen,DD-1-35,NA,0.0382
MS_BH_75,Deltadalen,DD-1-34,NA,0.0394
MS_BH_76,Deltadalen,DD-1-39,NA,0.03
MS_BH_77,Deltadalen,DD-1-33,NA,0.0387
MS_BH_78,Deltadalen,DD-1-41,NA,0.0547
MS_BH_79,Deltadalen,DD-1-37,NA,0.0534
MS_BH_80,Deltadalen,DD-1-23,NA,0.0498
MS_BH_81,Deltadalen,DD-1-30,NA,0.0456
MS_BH_82,Deltadalen,DD-1-16,NA,0.0286
MS_BH_83,Deltadalen,DD-1-17,NA,0.0358
MS_BH_84,Deltadalen,DD-1-40,NA,0.0328
MS_BH_85,Deltadalen,DD-1-27,NA,0.0394
MS_BH_86,Deltadalen,DD-1-5,NA,0.0606
MS_BH_87,Deltadalen,DD-1-2,NA,0.0534
MS_BH_88,Standard,KL134,NA,0.0598
MS_BH_89,Standard,WHIT,NA,0.0403
MS_BH_90,Standard,BHW,NA,0.061
MS_Fe_279,Standard,WHIT,NA,0.0747
MS_Fe_280,Standard,BHW,NA,0.0858
MS_Fe_281,Standard,KL134,NA,0.088
MS_Fe_319,Standard,KL134,NA,0.0938
MS_Fe_320,Standard,BHW,NA,0.0694
MS_Fe_321,Standard,WHIT,NA,0.0674
MS_Fe_329,Standard,WHIT,NA,0.0732
MS_Fe_330,Standard,BHW,NA,0.1005
MS_Fe_331,Standard,KL134,NA,0.102
