Name,Description,Method,Weight,Sulfur,Carbon,Moisture %,Operator,Date,Low Sulfur,High Sulfur,Carbon Peak,Carbon Time,Carbon Area,Sulfur Area,Sulfur Peak,Sulfur Time,Low Sulfur Peak,Low Sulfur Area,Low Sulfur Time,High Sulfur Peak,High Sulfur Area,High Sulfur Time,Sulfur Cell,Analysis Time
Blank,,TOC analysis (soils),1,-0.00024587,0.0023781,,Martin,08/31/16 09:28 AM,-0.00024587,0,0.012055,60,-0.012733,-0.022631,0,60,0,-0.022631,60,0,-0.14708,60,Auto Low,60
Blank,,TOC analysis (soils),1,-3.7081E-05,0.006606,,Martin,08/31/16 09:32 AM,-3.7081E-05,0,0.013886,60,0.025194,-0.0042254,0,60,0,-0.0042254,60,0.00076295,-0.030459,60,Auto Low,60
Blank,,TOC analysis (soils),1,3.3913E-06,0.0099814,,Martin,08/31/16 09:34 AM,3.3913E-06,0,0.018769,60,0.055473,-0.00065762,0.0016785,60,0.0016785,-0.00065762,60,0.0015259,-0.009882,60,Auto Low,60
Blank,,TOC analysis (soils),1,3.1558E-06,0.0054583,,Martin,08/31/16 09:37 AM,3.1558E-06,0,0.01236,60,0.014899,-0.00067837,0.0016785,60,0.0016785,-0.00067837,60,0.0016785,-0.0042462,60,Auto Low,60
Blank,,TOC analysis (soils),1,4.8269E-06,0.008334,,Martin,08/31/16 09:39 AM,4.8269E-06,0,0.018463,60,0.040696,-0.00053106,0.0028992,59,0.0028992,-0.00053106,59,0.0010681,-0.027965,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.0301,-0.00040726,1.1939,,Martin,08/31/16 09:42 AM,-0.00040726,0,0.086519,60,0.2883,-0.0020372,0.0016785,59,0.0016785,-0.0020372,59,0.00030518,-0.033547,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.0601,5.0646E-05,1.0859,,Martin,08/31/16 09:45 AM,5.0646E-05,0,0.15198,60,0.55138,-0.00068824,0.0016785,60,0.0016785,-0.00068824,60,0,-0.038282,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.1199,0.0001819,0.97077,,Martin,08/31/16 09:47 AM,0.0001819,0,0.36408,60,1.0101,0.00096598,0.0024414,60,0.0024414,0.00096598,60,0.0010681,-0.019795,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.1502,0.00016706,0.95802,,Martin,08/31/16 09:50 AM,0.00016706,0,0.42985,60,1.2568,0.0012554,0.0036622,60,0.0036622,0.0012554,60,0.0018311,0.0011728,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.2099,-5.2827E-05,0.96474,,Martin,08/31/16 09:53 AM,-5.2827E-05,0,0.57084,60,1.7825,-0.001934,0.0010681,60,0.0010681,-0.001934,60,0.00076295,-0.02419,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.3002,-0.00010917,0.95161,,Martin,08/31/16 09:55 AM,-0.00010917,0,0.74617,60,2.5286,-0.0038457,0.00061036,60,0.00061036,-0.0038457,60,0.0013733,-0.002597,60,Auto Low,60
pepton,,TOC analysis (soils),0.0077,-2.0729,41.337,,Martin,08/31/16 09:57 AM,-2.0729,0,1.4009,60,2.8823,0.047712,0.1857,60,0.1857,0.047712,60,0.011139,0.017717,60,Auto Low,60
MS_TOC_1,,TOC analysis (soils),0.3019,-6.28,0.31578,,Martin,08/31/16 10:01 AM,-6.28,0,0.19562,76,0.88731,5.0616,5.9136,60,5.9136,5.0616,60,0.73701,6.0409,59,Auto Low,76
MS_TOC_2,,TOC analysis (soils),0.2974,-1.4843,0.4342,,Martin,08/31/16 10:04 AM,-1.4843,0,0.15671,167,1.1897,1.1825,1.8027,60,1.8027,1.1825,60,0.13245,1.3862,60,Auto Low,167
MS_TOC_3,,TOC analysis (soils),0.1441,-2.9218,0.43108,,Martin,08/31/16 10:08 AM,-2.9218,0,0.21775,60,0.59012,1.128,2.9876,60,2.9876,1.128,60,0.24186,1.3016,60,Auto Low,60
MS_TOC_4,,TOC analysis (soils),0.1984,-2.1041,0.44145,,Martin,08/31/16 10:11 AM,-2.1041,0,0.21027,68,0.81797,1.1185,2.3633,60,2.3633,1.1185,60,0.18128,1.3195,60,Auto Low,68
MS_TOC_5,,TOC analysis (soils),0.2941,-0.78825,0.48855,,Martin,08/31/16 10:14 AM,-0.78825,0,0.20752,60,1.3199,0.62342,1.0105,60,1.0105,0.62342,60,0.070192,0.72102,60,Auto Low,60
MS_TOC_6,,TOC analysis (soils),0.298,-1.8222,0.44675,,Martin,08/31/16 10:16 AM,-1.8222,0,0.17914,70,1.2255,1.4534,2.3177,60,2.3177,1.4534,60,0.17655,1.6972,60,Auto Low,70
MS_TOC_7,,TOC analysis (soils),0.3066,-1.6504,0.70158,,Martin,08/31/16 10:19 AM,-1.6504,0,0.35462,60,1.959,1.3546,2.5769,60,2.5769,1.3546,60,0.20218,1.5868,60,Auto Low,60
MS_TOC_8,,TOC analysis (soils),0.2966,-0.71166,0.30509,,Martin,08/31/16 10:23 AM,-0.71166,0,0.062562,180,0.84397,0.56809,0.75364,60,0.75364,0.56809,60,0.049592,0.59497,60,Auto Low,180
MS_TOC_9,,TOC analysis (soils),0.3001,-1.0986,0.53183,,Martin,08/31/16 10:28 AM,-1.0986,0,0.23255,62,1.4624,0.88446,1.476,60,1.476,0.88446,60,0.10559,1.0286,60,Auto Low,62
MS_TOC_10,,TOC analysis (soils),0.2977,-0.58737,0.2825,,Martin,08/31/16 10:32 AM,-0.58737,0,0.14221,60,0.78681,0.4715,0.99565,60,0.99565,0.4715,60,0.069276,0.53414,60,Auto Low,60
MS_TOC_11,,TOC analysis (soils),0.2952,0,0.59726,,Martin,08/31/16 10:35 AM,-6.4236,0,0.32715,60,1.6119,6.1024,0.78737,60,6.0766,5.0625,60,0.78737,6.1024,60,Auto High,60
MS_TOC_12,,TOC analysis (soils),0.3042,-1.0514,0.45805,,Martin,08/31/16 10:37 AM,-1.0514,0,0.19699,60,1.2811,0.85812,1.379,60,1.379,0.85812,60,0.095369,0.95806,60,Auto Low,60
MS_TOC_13,,TOC analysis (soils),0.2306,-0.40781,0.22592,,Martin,08/31/16 10:40 AM,-0.40781,0,0.095216,92,0.50045,0.25595,0.4152,60,0.4152,0.25595,60,0.027466,0.27651,60,Auto Low,92
MS_TOC_14,,TOC analysis (soils),0.2968,-5.768,0.48283,,Martin,08/31/16 10:43 AM,-5.768,0,0.28885,61,1.3166,4.571,5.9013,60,5.9013,4.571,60,0.73579,5.4944,60,Auto Low,61
MS_TOC_15,,TOC analysis (soils),0.2991,-2.136,0.37606,,Martin,08/31/16 10:45 AM,-2.136,0,0.1799,73,1.0407,1.7091,2.9117,60,2.9117,1.7091,60,0.23438,2.0179,60,Auto Low,73
MS_TOC_16,,TOC analysis (soils),0.3028,-0.27708,0.31109,,Martin,08/31/16 10:48 AM,-0.27708,0,0.14893,60,0.87715,0.22891,0.39078,60,0.39078,0.22891,60,0.026398,0.26145,60,Auto Low,60
MS_TOC_17,,TOC analysis (soils),0.3041,0,0.72195,,Martin,08/31/16 10:50 AM,-8.3253,0,0.50813,60,1.9988,8.9414,1.5456,60,7.4435,6.7573,60,1.5456,8.9414,60,Auto High,60
MS_TOC_18,,TOC analysis (soils),0.1968,-1.3367,0.28223,,Martin,08/31/16 10:53 AM,-1.3367,0,0.13687,60,0.53128,0.70672,1.5438,60,1.5438,0.70672,60,0.11078,0.81142,60,Auto Low,60
MS_TOC_19,,TOC analysis (soils),0.2973,-1.5759,0.5202,,Martin,08/31/16 10:55 AM,-1.5759,0,0.25193,68,1.4181,1.2546,2.1527,59,2.1527,1.2546,59,0.16205,1.4658,60,Auto Low,68
MS_TOC_20,,TOC analysis (soils),0.3051,-5.7437,0.42722,,Martin,08/31/16 10:57 AM,-5.7437,0,0.2266,66,1.2006,4.6788,5.5961,60,5.5961,4.6788,60,0.65583,5.6014,60,Auto Low,66
0.926%C 0.016%S,,TOC analysis (soils),0.1198,0.0068257,0.92923,,Martin,08/31/16 11:00 AM,0.0068257,0,0.38865,60,1.0304,0.0029621,0.0071717,60,0.0071717,0.0029621,60,0.0021363,0.015751,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.3,0.0041608,0.92458,,Martin,08/31/16 11:02 AM,0.0041608,0,0.67048,60,2.5162,0.0018139,0.010834,60,0.010834,0.0018139,60,0.0010681,-0.017003,60,Auto Low,60
pepton,,TOC analysis (soils),0.0072,-3.7412,41.89,,Martin,08/31/16 11:05 AM,-3.7412,0,1.5319,60,2.733,0.076984,0.34165,60,0.34165,0.076984,60,0.022736,0.096569,60,Auto Low,60
MS_TOC_21,,TOC analysis (soils),0.2972,-0.66205,0.31043,,Martin,08/31/16 11:09 AM,-0.66205,0,0.12772,61,0.85983,0.52991,0.8014,60,0.8014,0.52991,60,0.054017,0.59022,60,Auto Low,61
MS_TOC_22,,TOC analysis (soils),0.305,-0.76376,0.62422,,Martin,08/31/16 11:11 AM,-0.76376,0,0.26139,61,1.7378,0.62642,0.99916,60,0.99916,0.62642,60,0.070344,0.74011,60,Auto Low,61
MS_TOC_23,,TOC analysis (soils),0.3049,-0.73651,0.46398,,Martin,08/31/16 11:13 AM,-0.73651,0,0.17868,65,1.3001,0.60405,0.95842,60,0.95842,0.60405,60,0.065919,0.70264,60,Auto Low,65
MS_TOC_24,,TOC analysis (soils),0.3053,0,0.51746,,Martin,08/31/16 11:16 AM,-7.0651,0,0.3154,60,1.4479,7.0741,1.0086,60,6.6577,5.7578,60,1.0086,7.0741,60,Auto High,60
MS_TOC_25,,TOC analysis (soils),0.2992,-0.44382,0.70032,,Martin,08/31/16 11:18 AM,-0.44382,0,0.31678,61,1.9092,0.3593,0.67506,60,0.67506,0.3593,60,0.046235,0.40072,60,Auto Low,61
MS_TOC_26,,TOC analysis (soils),0.3061,-1.4141,0.4298,,Martin,08/31/16 11:20 AM,-1.4141,0,0.18341,66,1.2115,1.1595,1.7476,60,1.7476,1.1595,60,0.12619,1.3257,60,Auto Low,66
MS_TOC_27,,TOC analysis (soils),0.3039,-0.71821,0.36549,,Martin,08/31/16 11:23 AM,-0.71821,0,0.14572,64,1.0281,0.58726,0.92882,60,0.92882,0.58726,60,0.063172,0.66559,60,Auto Low,64
MS_TOC_28,,TOC analysis (soils),0.3,-1.151,0.63297,,Martin,08/31/16 11:25 AM,-1.151,0,0.25284,67,1.7334,0.92603,1.5645,60,1.5645,0.92603,60,0.11032,1.0496,60,Auto Low,67
MS_TOC_29,,TOC analysis (soils),0.2994,-0.39463,0.44556,,Martin,08/31/16 11:27 AM,-0.39463,0,0.16693,61,1.2279,0.32025,0.49699,60,0.49699,0.32025,60,0.031739,0.33672,60,Auto Low,61
MS_TOC_30,,TOC analysis (soils),0.2958,-0.70209,0.45485,,Martin,08/31/16 11:29 AM,-0.70209,0,0.16709,64,1.2382,0.55902,0.85039,60,0.85039,0.55902,60,0.056458,0.5972,60,Auto Low,64
MS_TOC_31,,TOC analysis (soils),0.297,-1.3342,0.64219,,Martin,08/31/16 11:32 AM,-1.3342,0,0.2678,66,1.7409,1.062,1.9088,60,1.9088,1.062,60,0.1413,1.2474,60,Auto Low,66
MS_TOC_32,,TOC analysis (soils),0.3039,-1.3948,0.65933,,Martin,08/31/16 11:34 AM,-1.3948,0,0.28779,60,1.8272,1.1357,2.0185,60,2.0185,1.1357,60,0.14939,1.3129,60,Auto Low,60
MS_TOC_34,,TOC analysis (soils),0.3042,0,0.63824,,Martin,08/31/16 11:36 AM,-7.7626,0,0.3917,60,1.7715,7.8888,1.203,60,7.0236,6.303,60,1.203,7.8888,60,Auto High,60
MS_TOC_33,,TOC analysis (soils),0.2991,-1.0172,0.312,,Martin,08/31/16 11:38 AM,-1.0172,0,0.12833,67,0.86929,0.81654,1.3359,60,1.3359,0.81654,60,0.093233,0.93133,59,Auto Low,67
MS_TOC_35,,TOC analysis (soils),0.2997,-1.4071,0.63521,,Martin,08/31/16 11:40 AM,-1.4071,0,0.27527,65,1.7377,1.1298,2.0333,60,2.0333,1.1298,60,0.15152,1.3212,60,Auto Low,65
MS_TOC_36,,TOC analysis (soils),0.289,-0.85254,0.23279,,Martin,08/31/16 11:43 AM,-0.85254,0,0.12131,69,0.63626,0.66226,1.2108,60,1.2108,0.66226,60,0.083467,0.75533,60,Auto Low,69
MS_TOC_37,,TOC analysis (soils),0.3036,-1.597,0.57804,,Martin,08/31/16 11:45 AM,-1.597,0,0.24674,64,1.6046,1.2982,2.2568,60,2.2568,1.2982,60,0.17151,1.5129,59,Auto Low,64
MS_TOC_38,,TOC analysis (soils),0.2977,-0.27636,0.48955,,Martin,08/31/16 11:47 AM,-0.27636,0,0.19776,65,1.3383,0.22456,0.36042,60,0.36042,0.22456,60,0.023804,0.24398,60,Auto Low,65
MS_TOC_39,,TOC analysis (soils),0.3036,-5.1728,0.26371,,Martin,08/31/16 11:49 AM,-5.1728,0,0.13657,89,0.75068,4.1936,5.1287,60,5.1287,4.1936,60,0.55268,5.0011,59,Auto Low,89
MS_TOC_40,,TOC analysis (soils),0.3043,-0.7595,0.32894,,Martin,08/31/16 11:52 AM,-0.7595,0,0.14191,71,0.92994,0.62153,0.99977,60,0.99977,0.62153,60,0.068818,0.69846,60,Auto Low,71
0.926%C 0.016%S,,TOC analysis (soils),0.1202,0.013889,0.96145,,Martin,08/31/16 11:55 AM,0.013889,0,0.33005,60,1.0684,0.00069044,0.0054932,60,0.0054932,0.00069044,60,0.0038148,0.048105,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.3001,-0.0011414,0.93367,,Martin,08/31/16 11:57 AM,-0.0011414,0,0.71931,60,2.5414,0.0060566,0.016327,60,0.016327,0.0060566,60,0.00091554,-0.020894,60,Auto Low,60
pepton,,TOC analysis (soils),0.0067,-3.7992,41.925,,Martin,08/31/16 11:59 AM,-3.7992,0,1.4372,60,2.5477,0.073031,0.29129,60,0.29129,0.073031,60,0.0206,0.11627,60,Auto Low,60
