section ID;height (m);P[tot](wt. %);Al[tot](wt. %);Fe[tot](wt. %);Mo[tot](µg/g);Re[tot](ng/g);U[tot](µg/g);Fe[carb](wt. %);Fe[ox](wt. %);Fe[mag](wt. %);Fe[py](wt. %);Fe[PR](wt. %);P[ox1](wt. %);P[ox2](wt. %);P[aut](wt. %);P[det](wt. %);P[mag](wt. %);P[org](wt. %);TOC(wt. %);δ13C[TOC];δ34S[py]
Fe103;12.71;0.04;6.08;4.05;2.58;NA;1.49;0.372;0.071;0.111;1.347;1.154;0.0000;0.0000;0.0092;0.0238;0.0011;0.0032;0.26;-29.8;-18.1
Fe102;11.48;0.04;7.90;4.26;1.38;NA;2.01;0.225;0.059;0.140;1.107;1.032;0.0000;0.0000;0.0130;0.0178;0.0011;0.0028;0.23;-30.2;-31.8
Fe101;10.00;0.04;9.22;4.95;2.71;3.00;1.94;0.375;0.146;0.143;1.611;1.346;0.0000;0.0000;0.0116;0.0143;0.0010;0.0051;0.44;-31.9;-36.2
Fe100;8.65;0.04;8.59;5.14;3.97;4.15;2.74;0.602;0.124;0.165;1.942;1.365;0.0001;0.0000;0.0074;0.0154;0.0010;0.0026;0.60;-32.2;-37.6
Fe99;7.74;0.03;8.79;4.68;0.46;NA;1.71;0.300;0.086;0.234;1.227;1.164;0.0000;0.0000;0.0123;0.0090;0.0008;0.0051;0.37;-31.3;-26.1
Fe98;6.52;0.03;9.07;4.67;1.87;3.13;2.67;0.441;0.080;0.237;1.329;1.488;0.0000;0.0000;0.0094;0.0109;0.0006;0.0032;0.51;-31.4;-33.0
Fe97;5.94;0.05;8.80;4.71;NA;NA;NA;0.356;0.084;0.229;1.183;1.247;0.0001;0.0000;0.0178;0.0171;0.0010;0.0031;0.41;-31.0;-24.2
Fe96;4.77;0.03;8.63;5.28;1.78;NA;2.16;0.511;0.092;0.263;1.801;1.648;0.0002;0.0000;0.0089;0.0125;0.0009;0.0034;0.58;-31.9;-25.0
Fe95;3.74;0.03;9.15;4.55;0.56;2.82;1.98;0.465;0.106;0.402;0.469;2.131;0.0000;0.0000;0.0080;0.0110;0.0008;0.0030;0.31;-30.4;-25.7
Fe94;3.55;0.21;3.38;1.97;0.16;3.94;1.38;0.571;0.038;0.139;0.062;1.148;0.0007;-0.0000;0.0120;0.1410;0.0041;0.0014;0.13;-28.5;-28.5
Fe93;3.10;0.47;6.15;4.18;0.70;6.77;0.89;0.786;0.104;0.721;0.174;2.996;0.0009;-0.0000;0.0464;0.3823;0.0114;0.0011;0.12;-29.5;-14.4
Fe92;2.58;0.05;6.36;7.26;0.48;2.61;1.58;0.678;0.129;0.685;0.151;5.235;0.0000;-0.0000;0.0069;0.0373;0.0021;0.0005;0.57;-29.2;-28.5
Fe91;2.00;1.32;5.25;10.83;0.69;9.03;5.85;0.994;0.132;1.190;0.248;8.452;0.0022;0.0003;0.1073;1.1444;0.0228;0.0005;0.14;-28.9;3.1
Fe90;1.55;1.47;4.30;8.17;2.24;10.43;6.36;0.650;0.146;1.169;0.201;8.052;0.0033;0.0003;0.1016;1.7111;0.0440;0.0006;0.17;-29.3;-4.7
Fe89;0.71;1.22;7.22;9.09;NA;NA;NA;0.384;0.131;1.001;0.217;7.353;0.0044;0.0004;0.2120;0.9396;0.0597;0.0008;0.33;-29.5;-30.5
Fe88;0.13;0.03;5.37;1.96;1.04;5.38;1.83;0.163;0.040;0.051;0.380;0.503;0.0000;-0.0000;0.0159;0.0083;0.0004;0.0025;0.53;-26.9;-23.6
Fe87;-0.32;0.03;3.58;1.55;1.08;6.73;1.45;0.134;0.037;0.064;0.241;0.453;0.0000;0.0000;0.0102;0.0152;0.0006;0.0011;0.43;-26.8;-28.9
Fe86;-1.03;0.02;3.25;2.36;0.76;6.50;1.80;0.145;0.049;0.109;0.147;0.553;0.0000;0.0000;0.0069;0.0080;0.0003;0.0015;0.28;-26.3;-24.4
Fe85;-1.68;0.02;3.25;2.24;1.49;5.64;1.76;0.146;0.050;0.105;0.221;1.013;0.0002;-0.0000;0.0088;0.0066;0.0004;0.0007;0.27;-26.9;-35.7
Fe84;-1.94;0.02;3.70;1.93;2.21;10.61;2.12;0.154;0.075;0.100;0.184;1.012;0.0002;0.0000;0.0098;0.0064;0.0004;0.0010;0.44;-26.3;-28.2
Fe83;-2.58;0.03;3.34;1.92;0.91;12.98;2.32;0.137;0.062;0.091;0.164;0.527;0.0000;0.0000;0.0106;0.0078;0.0003;0.0028;0.42;-26.8;-36.6
Fe82;-3.10;0.03;3.59;1.94;1.20;7.06;1.82;0.136;0.041;0.068;0.399;0.358;0.0001;-0.0000;0.0104;0.0118;0.0004;0.0018;0.40;-26.9;-39.0
Fe81;-3.68;0.03;3.99;1.81;1.13;8.66;1.84;0.138;0.062;0.072;0.335;0.424;0.0000;0.0000;0.0125;0.0097;0.0004;0.0021;0.40;-26.8;-36.5
Fe80;-5.10;0.03;2.77;1.69;0.97;3.77;1.44;0.118;0.033;0.066;0.139;0.545;0.0000;-0.0000;0.0088;0.0103;0.0004;0.0016;0.26;-27.1;-33.1
Fe79;-6.06;0.02;3.85;1.48;0.48;6.06;2.08;0.085;0.065;0.059;0.075;0.436;0.0005;0.0001;0.0081;0.0042;0.0004;-0.0001;0.29;-25.9;-44.0
Fe78;-6.45;0.02;4.45;1.81;0.79;8.46;1.98;0.111;0.217;0.095;0.055;0.869;0.0009;-0.0000;0.0107;0.0042;0.0002;0.0018;0.46;-25.4;-46.3
Fe77;-7.87;0.02;3.78;1.45;0.40;12.56;2.00;0.107;0.055;0.072;0.093;0.550;0.0000;0.0000;0.0086;0.0079;0.0003;0.0024;0.41;-25.4;-44.8
Fe76b;-8.71;0.02;2.84;2.14;0.92;21.60;1.64;0.146;0.067;0.095;0.168;0.757;0.0003;-0.0000;0.0084;0.0078;0.0004;0.0006;0.33;-26.9;-26.9
Fe75;-10.90;0.02;3.11;2.59;0.81;3.39;1.66;0.162;0.063;0.141;0.143;1.038;0.0000;-0.0000;0.0066;0.0066;0.0003;0.0011;0.30;-26.7;-48.5
Fe74;-12.45;0.04;2.15;1.39;0.94;24.97;1.65;0.198;0.050;0.052;0.403;0.383;0.0000;0.0000;0.0144;0.0216;0.0007;0.0017;0.33;-26.5;-20.5
Fe73;-13.35;0.06;4.57;2.05;0.64;4.49;1.84;0.235;0.142;0.129;0.312;0.808;0.0000;0.0000;0.0102;0.0223;0.0009;0.0028;0.56;-25.4;-22.3
Fe72;-14.84;0.02;4.63;2.24;0.42;4.14;1.85;0.190;0.065;0.134;0.334;0.719;0.0000;-0.0000;0.0085;0.0047;0.0003;0.0028;0.64;-25.3;-21.7
Fe71;-15.74;0.02;4.03;2.49;0.36;3.26;1.42;0.158;0.041;0.108;0.244;0.823;0.0000;-0.0000;0.0038;0.0066;0.0004;0.0029;0.47;-25.0;-5.8
Fe70;-16.71;0.02;3.53;2.51;0.67;2.91;1.40;0.158;0.054;0.118;0.150;0.818;0.0002;-0.0000;0.0066;0.0066;0.0004;0.0009;0.42;-25.3;-28.1
Fe69b;-17.16;0.02;3.77;2.14;0.99;4.40;1.50;0.142;0.072;0.082;0.252;0.636;0.0000;0.0000;0.0057;0.0065;0.0004;0.0018;0.58;-25.0;-31.9
Fe69a;-19.29;0.02;4.26;2.04;1.17;NA;1.61;0.157;0.100;0.087;0.324;0.763;0.0000;0.0000;0.0062;0.0057;0.0003;0.0035;0.59;-25.1;-32.5
Fe68c;-20.13;0.02;4.59;2.73;0.65;3.99;1.63;0.185;0.112;0.168;0.340;1.207;0.0000;0.0000;0.0076;0.0043;0.0003;0.0029;0.17;-25.1;-30.8
Fe68b;-22.77;0.02;4.84;2.03;0.63;6.04;1.77;0.118;0.374;0.125;0.103;1.068;0.0031;0.0001;0.0099;0.0017;0.0003;0.0014;0.65;-24.9;-35.0
Fe68a;-24.90;0.02;4.07;1.46;NA;NA;NA;0.105;0.198;0.070;0.161;0.596;0.0010;0.0002;0.0103;0.0025;0.0004;0.0011;0.58;-25.0;-37.1
Fe66;-27.10;0.02;2.94;2.18;1.09;NA;1.17;0.139;0.062;0.085;0.202;0.566;0.0000;0.0000;0.0066;0.0071;0.0003;0.0013;0.28;-26.3;-46.1
